nodeID,H,T,seizoen,methode
215,-5.72,10,alleen zomer,gewogen gemiddelde
215,-5.733,10,alleen zomer,Gumbel fit
215,-5.654,10,geheel jaar,Gumbel fit
215,-5.597,25,geheel jaar,Gumbel fit
215,-5.555,50,geheel jaar,Gumbel fit
215,-5.512,100,geheel jaar,Gumbel fit
220,-5.684,10,geheel jaar,gewogen gemiddelde
220,-5.72,10,alleen zomer,gewogen gemiddelde
220,-5.733,10,alleen zomer,Gumbel fit
220,-5.654,10,geheel jaar,Gumbel fit
220,-5.597,25,geheel jaar,Gumbel fit
220,-5.555,50,geheel jaar,Gumbel fit
220,-5.512,100,geheel jaar,Gumbel fit
110,-5.684,10,geheel jaar,gewogen gemiddelde
110,-5.72,10,alleen zomer,gewogen gemiddelde
110,-5.733,10,alleen zomer,Gumbel fit
110,-5.654,10,geheel jaar,Gumbel fit
110,-5.597,25,geheel jaar,Gumbel fit
110,-5.555,50,geheel jaar,Gumbel fit
110,-5.512,100,geheel jaar,Gumbel fit
CFBerg_IV_b,-5.849,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_b,-5.922,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_b,-5.884,10,alleen zomer,Gumbel fit
CFBerg_IV_b,-5.86,10,geheel jaar,Gumbel fit
CFBerg_IV_b,-5.822,25,geheel jaar,Gumbel fit
CFBerg_IV_b,-5.793,50,geheel jaar,Gumbel fit
CFBerg_IV_b,-5.764,100,geheel jaar,Gumbel fit
135,-3.136,10,geheel jaar,gewogen gemiddelde
135,-3.155,10,alleen zomer,gewogen gemiddelde
135,-3.153,10,alleen zomer,Gumbel fit
135,-3.128,10,geheel jaar,Gumbel fit
135,-3.107,25,geheel jaar,Gumbel fit
135,-3.091,50,geheel jaar,Gumbel fit
135,-3.075,100,geheel jaar,Gumbel fit
243,-5.639,10,geheel jaar,gewogen gemiddelde
243,-5.679,10,alleen zomer,gewogen gemiddelde
243,-5.691,10,alleen zomer,Gumbel fit
243,-5.612,10,geheel jaar,Gumbel fit
243,-5.559,25,geheel jaar,Gumbel fit
243,-5.519,50,geheel jaar,Gumbel fit
243,-5.479,100,geheel jaar,Gumbel fit
149,-5.643,10,geheel jaar,gewogen gemiddelde
149,-5.679,10,alleen zomer,gewogen gemiddelde
149,-5.693,10,alleen zomer,Gumbel fit
149,-5.619,10,geheel jaar,Gumbel fit
149,-5.568,25,geheel jaar,Gumbel fit
149,-5.529,50,geheel jaar,Gumbel fit
149,-5.49,100,geheel jaar,Gumbel fit
CFBerg_IV_i,-5.639,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_i,-5.679,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_i,-5.691,10,alleen zomer,Gumbel fit
CFBerg_IV_i,-5.613,10,geheel jaar,Gumbel fit
CFBerg_IV_i,-5.559,25,geheel jaar,Gumbel fit
CFBerg_IV_i,-5.519,50,geheel jaar,Gumbel fit
CFBerg_IV_i,-5.479,100,geheel jaar,Gumbel fit
29,-5.678,10,geheel jaar,gewogen gemiddelde
29,-5.714,10,alleen zomer,gewogen gemiddelde
29,-5.726,10,alleen zomer,Gumbel fit
29,-5.648,10,geheel jaar,Gumbel fit
29,-5.593,25,geheel jaar,Gumbel fit
29,-5.551,50,geheel jaar,Gumbel fit
29,-5.508,100,geheel jaar,Gumbel fit
17,-5.678,10,geheel jaar,gewogen gemiddelde
17,-5.714,10,alleen zomer,gewogen gemiddelde
17,-5.727,10,alleen zomer,Gumbel fit
17,-5.649,10,geheel jaar,Gumbel fit
17,-5.593,25,geheel jaar,Gumbel fit
17,-5.551,50,geheel jaar,Gumbel fit
17,-5.509,100,geheel jaar,Gumbel fit
258,-5.128,10,geheel jaar,gewogen gemiddelde
258,-5.134,10,alleen zomer,gewogen gemiddelde
258,-5.132,10,alleen zomer,Gumbel fit
258,-5.125,10,geheel jaar,Gumbel fit
